trial,num_states,obj_all_zeros,obj_all_ones,obj_even_parity,obj_odd_parity,obj_alternating,obj_majority_ones,obj_majority_zeros,obj_weight_2,obj_weight_3,obj_first_qubit_one
0,8,0.094,0.0,0.5099999999999999,0.49,0.088,0.162,0.42200000000000004,0.4159999999999999,0.162,0.504
1,15,0.037,0.018,0.512,0.488,0.194,0.28400000000000003,0.259,0.457,0.266,0.48100000000000004
2,16,0.116,0.132,0.515,0.485,0.028999999999999998,0.384,0.349,0.267,0.252,0.551
3,16,0.025,0.009,0.4840000000000001,0.516,0.028,0.267,0.28300000000000003,0.45000000000000007,0.258,0.4730000000000001
4,16,0.083,0.103,0.5820000000000001,0.418,0.158,0.328,0.276,0.396,0.22500000000000003,0.514
5,9,0.0,0.384,0.496,0.504,0.002,0.882,0.006,0.112,0.498,0.777
6,14,0.003,0.031,0.536,0.46399999999999997,0.418,0.413,0.085,0.502,0.382,0.087
7,16,0.038,0.034,0.3600000000000001,0.64,0.08,0.41900000000000004,0.29300000000000004,0.28800000000000003,0.385,0.5759999999999998
8,14,0.005,0.0,0.501,0.49900000000000005,0.031,0.026000000000000002,0.47800000000000004,0.49600000000000005,0.026000000000000002,0.06999999999999999
9,8,0.011,0.0,0.498,0.502,0.359,0.35,0.16299999999999998,0.487,0.35,0.77
10,16,0.079,0.015,0.508,0.492,0.165,0.16500000000000004,0.42100000000000004,0.41400000000000003,0.15000000000000002,0.733
11,16,0.024,0.028,0.48200000000000004,0.518,0.179,0.28800000000000003,0.28200000000000003,0.43000000000000005,0.26,0.504
12,15,0.016,0.006,0.506,0.49400000000000005,0.124,0.158,0.35800000000000004,0.484,0.152,0.051000000000000004
13,16,0.111,0.028,0.5,0.5,0.11499999999999999,0.217,0.42200000000000004,0.361,0.18899999999999997,0.483
14,16,0.08,0.044,0.518,0.482,0.13999999999999999,0.238,0.368,0.39399999999999996,0.194,0.6920000000000001
15,16,0.072,0.027,0.512,0.488,0.101,0.30600000000000005,0.28099999999999997,0.41300000000000003,0.279,0.527
16,12,0.154,0.0,0.503,0.497,0.291,0.033,0.618,0.349,0.033,0.004
17,13,0.008,0.007,0.594,0.40599999999999997,0.066,0.204,0.217,0.579,0.19699999999999998,0.043
18,8,0.124,0.0,0.505,0.495,0.282,0.106,0.513,0.381,0.106,0.573
19,16,0.02,0.008,0.492,0.508,0.242,0.24300000000000005,0.293,0.46399999999999997,0.23500000000000004,0.505
20,8,0.032,0.433,0.7050000000000001,0.295,0.0,0.6759999999999999,0.08399999999999999,0.24,0.243,0.8109999999999999
21,4,0.0,0.0,0.088,0.912,0.017,0.001,0.911,0.088,0.001,1.0
22,8,0.0,0.152,0.528,0.472,0.129,0.518,0.106,0.376,0.366,0.515
23,16,0.01,0.03,0.495,0.505,0.179,0.26,0.28500000000000003,0.45499999999999996,0.23,0.162
24,16,0.033,0.01,0.516,0.484,0.06,0.11699999999999999,0.41,0.473,0.107,0.138
25,8,0.004,0.0,0.811,0.189,0.786,0.077,0.116,0.807,0.077,0.0
26,16,0.115,0.022,0.49599999999999994,0.504,0.145,0.175,0.46599999999999997,0.359,0.153,0.401
27,16,0.112,0.021,0.489,0.5109999999999999,0.165,0.182,0.46199999999999997,0.356,0.16099999999999998,0.29
28,16,0.004,0.005,0.403,0.5970000000000001,0.161,0.551,0.05500000000000001,0.394,0.546,0.6270000000000001
29,10,0.205,0.069,0.617,0.383,0.001,0.44,0.217,0.34299999999999997,0.371,0.484
30,12,0.0,0.089,0.519,0.481,0.402,0.562,0.008,0.43000000000000005,0.47300000000000003,0.497
31,16,0.072,0.037,0.494,0.506,0.146,0.241,0.374,0.385,0.204,0.647
32,16,0.038,0.014,0.523,0.47700000000000004,0.197,0.20800000000000002,0.321,0.47100000000000003,0.194,0.77
33,16,0.036,0.036,0.493,0.507,0.138,0.245,0.334,0.42099999999999993,0.20900000000000002,0.521
34,16,0.051,0.039,0.5429999999999999,0.457,0.182,0.246,0.301,0.453,0.207,0.492
35,16,0.03,0.026,0.559,0.441,0.064,0.243,0.254,0.503,0.21699999999999997,0.4780000000000001
36,16,0.122,0.004,0.493,0.507,0.112,0.11499999999999999,0.518,0.367,0.11099999999999999,0.4850000000000001
37,16,0.068,0.054,0.45999999999999996,0.54,0.11499999999999999,0.411,0.251,0.33799999999999997,0.357,0.514
38,16,0.063,0.143,0.511,0.489,0.064,0.4089999999999999,0.28600000000000003,0.305,0.266,0.505
39,16,0.089,0.035,0.496,0.504,0.127,0.257,0.371,0.372,0.22200000000000003,0.5270000000000001
40,16,0.018,0.174,0.528,0.472,0.08,0.488,0.176,0.336,0.314,0.497
41,16,0.02,0.098,0.48000000000000004,0.52,0.095,0.43400000000000005,0.204,0.362,0.336,0.46900000000000003
42,14,0.003,0.003,0.574,0.42600000000000005,0.428,0.07900000000000001,0.35300000000000004,0.568,0.07600000000000001,0.5700000000000001
43,14,0.01,0.005,0.639,0.36100000000000004,0.239,0.241,0.135,0.624,0.236,0.038
44,16,0.027,0.032,0.483,0.517,0.196,0.364,0.212,0.42400000000000004,0.332,0.5079999999999999
45,14,0.008,0.027,0.511,0.4890000000000001,0.243,0.3450000000000001,0.179,0.47600000000000003,0.31800000000000006,0.9420000000000002
46,16,0.065,0.151,0.46900000000000003,0.531,0.013000000000000001,0.479,0.268,0.253,0.328,0.61
47,16,0.019,0.109,0.4700000000000001,0.53,0.094,0.496,0.16199999999999998,0.342,0.387,0.544
48,16,0.14,0.022,0.502,0.498,0.07400000000000001,0.19599999999999998,0.4640000000000001,0.34,0.174,0.497
49,16,0.175,0.018,0.514,0.486,0.181,0.132,0.547,0.321,0.114,0.519
