trial,counts
0,"{'111': 255, '101': 268, '010': 251, '000': 226}"
1,"{'001': 279, '000': 230, '110': 252, '111': 239}"
2,"{'101': 39, '001': 36, '100': 34, '000': 48, '010': 220, '111': 195, '011': 214, '110': 214}"
3,"{'110': 66, '101': 168, '001': 80, '111': 82, '011': 165, '100': 176, '010': 170, '000': 93}"
4,"{'010': 11, '000': 3, '110': 16, '100': 2, '001': 251, '011': 209, '111': 244, '101': 264}"
5,"{'001': 43, '100': 93, '101': 205, '110': 43, '000': 165, '010': 193, '011': 92, '111': 166}"
6,"{'100': 256, '101': 241, '000': 251, '001': 252}"
7,"{'100': 2, '001': 7, '111': 2, '011': 250, '101': 237, '010': 2, '000': 250, '110': 250}"
8,"{'100': 244, '000': 226, '010': 269, '110': 261}"
9,"{'001': 551, '000': 449}"
10,"{'011': 266, '001': 247, '010': 254, '000': 233}"
11,"{'001': 229, '111': 246, '000': 280, '110': 245}"
12,"{'000': 338, '001': 662}"
13,"{'011': 262, '100': 245, '010': 249, '101': 244}"
14,"{'100': 2, '001': 2, '110': 5, '101': 239, '011': 3, '111': 244, '010': 241, '000': 264}"
15,"{'100': 108, '000': 390, '010': 115, '110': 387}"
16,"{'100': 8, '110': 11, '001': 8, '101': 230, '011': 6, '111': 253, '000': 250, '010': 234}"
17,{'000': 1000}
18,"{'100': 19, '110': 18, '001': 29, '101': 210, '011': 29, '111': 205, '010': 235, '000': 255}"
19,"{'110': 2, '101': 253, '011': 5, '111': 5, '100': 248, '001': 242, '010': 2, '000': 243}"
20,"{'001': 162, '111': 83, '011': 82, '110': 165, '101': 187, '100': 79, '000': 80, '010': 162}"
21,"{'001': 255, '000': 233, '111': 262, '110': 250}"
22,"{'101': 72, '110': 171, '001': 91, '100': 164, '010': 172, '000': 158, '011': 75, '111': 97}"
23,"{'000': 250, '010': 274, '011': 251, '001': 225}"
24,"{'010': 23, '000': 977}"
25,{'011': 1000}
26,"{'001': 18, '000': 7, '101': 527, '100': 448}"
27,"{'110': 262, '100': 255, '010': 258, '000': 225}"
28,"{'100': 111, '001': 138, '101': 129, '111': 121, '011': 111, '110': 138, '010': 134, '000': 118}"
29,"{'001': 111, '011': 87, '111': 140, '101': 164, '110': 67, '010': 165, '000': 159, '100': 107}"
30,"{'101': 245, '110': 265, '000': 257, '011': 233}"
31,"{'011': 4, '111': 8, '001': 2, '101': 6, '010': 240, '000': 249, '110': 246, '100': 245}"
32,"{'111': 244, '110': 247, '000': 257, '001': 252}"
33,"{'001': 78, '010': 79, '000': 166, '110': 171, '101': 176, '100': 72, '011': 178, '111': 80}"
34,"{'110': 129, '100': 129, '001': 124, '101': 145, '000': 116, '010': 150, '011': 112, '111': 95}"
35,"{'011': 249, '001': 261, '010': 237, '000': 253}"
36,"{'101': 8, '010': 79, '000': 196, '011': 4, '111': 218, '001': 226, '100': 69, '110': 200}"
37,"{'000': 17, '001': 108, '111': 730, '110': 145}"
38,"{'001': 7, '101': 150, '111': 124, '011': 249, '100': 109, '110': 117, '010': 14, '000': 230}"
39,{'000': 1000}
40,"{'101': 101, '000': 899}"
41,"{'100': 13, '001': 9, '111': 10, '011': 244, '010': 13, '000': 243, '110': 251, '101': 217}"
42,"{'111': 10, '011': 21, '110': 17, '100': 245, '010': 17, '000': 241, '101': 209, '001': 240}"
43,"{'001': 34, '110': 53, '100': 206, '101': 33, '010': 26, '000': 222, '011': 197, '111': 229}"
44,"{'101': 245, '111': 267, '000': 232, '010': 256}"
45,"{'100': 252, '110': 261, '010': 247, '000': 240}"
46,"{'001': 254, '011': 265, '010': 203, '000': 278}"
47,"{'110': 90, '000': 19, '010': 146, '011': 22, '111': 233, '101': 92, '001': 163, '100': 235}"
48,"{'001': 241, '011': 251, '000': 256, '010': 252}"
49,"{'111': 262, '110': 245, '000': 247, '001': 246}"
