trial,counts,energies
0,"{'1101': 1, '0101': 2, '0100': 1, '1010': 54, '1000': 10, '1001': 50, '0010': 46, '0000': 127, '1011': 210, '0011': 133, '0001': 366}","{'H_AFM': 0.9319999999999999, 'H_FM': 0.9319999999999999, 'H_TF': 0.9319999999999999, 'H_XY': 0.9319999999999999, 'H_RF': 0.9319999999999999}"
1,"{'0101': 79, '1101': 78, '1111': 7, '0001': 197, '1001': 194, '0111': 6, '0011': 212, '1011': 227}","{'H_AFM': -0.256, 'H_FM': -0.256, 'H_TF': -0.256, 'H_XY': -0.256, 'H_RF': -0.256}"
2,"{'1110': 23, '1100': 10, '1011': 218, '0011': 2, '0111': 213, '1000': 145, '0110': 80, '1101': 24, '0100': 148, '1001': 13, '0101': 9, '1010': 75, '0001': 20, '0010': 14, '0000': 6}","{'H_AFM': -0.2779999999999999, 'H_FM': -0.2779999999999999, 'H_TF': -0.2779999999999999, 'H_XY': -0.2779999999999999, 'H_RF': -0.2779999999999999}"
3,"{'1101': 22, '1010': 3, '0001': 21, '1111': 149, '0111': 218, '0011': 148, '1011': 17, '0100': 83, '0000': 70, '0010': 61, '1001': 2, '0101': 32, '1110': 49, '1100': 52, '0110': 65, '1000': 8}","{'H_AFM': -0.582, 'H_FM': -0.582, 'H_TF': -0.582, 'H_XY': -0.582, 'H_RF': -0.582}"
4,"{'1011': 15, '1110': 31, '1101': 167, '1111': 131, '0001': 30, '1100': 57, '0110': 6, '1000': 72, '0000': 246, '0010': 57, '1010': 13, '0111': 33, '0011': 61, '1001': 10, '0101': 59, '0100': 12}","{'H_AFM': 0.3099999999999999, 'H_FM': 0.3099999999999999, 'H_TF': 0.3099999999999999, 'H_XY': 0.3099999999999999, 'H_RF': 0.3099999999999999}"
5,"{'0011': 7, '0111': 34, '1010': 4, '1110': 61, '1100': 132, '0101': 100, '1001': 104, '0000': 47, '0010': 7, '1111': 72, '0001': 57, '1000': 77, '0110': 35, '1101': 193, '1011': 17, '0100': 53}","{'H_AFM': -0.32200000000000006, 'H_FM': -0.32200000000000006, 'H_TF': -0.32200000000000006, 'H_XY': -0.32200000000000006, 'H_RF': -0.32200000000000006}"
6,"{'1110': 6, '0001': 3, '0000': 3, '1011': 300, '0111': 307, '0011': 30, '1101': 1, '0110': 79, '1000': 62, '1100': 10, '0100': 63, '1111': 27, '0010': 9, '1010': 68, '1001': 17, '0101': 15}","{'H_AFM': -1.0499999999999998, 'H_FM': -1.0499999999999998, 'H_TF': -1.0499999999999998, 'H_XY': -1.0499999999999998, 'H_RF': -1.0499999999999998}"
7,"{'1111': 5, '0010': 6, '1100': 22, '1110': 44, '0000': 241, '0011': 74, '0111': 10, '1011': 60, '0001': 78, '0100': 61, '0101': 208, '1001': 15, '1101': 32, '1000': 40, '0110': 102, '1010': 2}","{'H_AFM': 1.022, 'H_FM': 1.022, 'H_TF': 1.022, 'H_XY': 1.022, 'H_RF': 1.022}"
8,"{'1111': 16, '0001': 47, '1010': 161, '1110': 59, '1001': 53, '0101': 19, '1011': 45, '0111': 15, '0011': 48, '0000': 112, '0010': 122, '0100': 46, '1100': 56, '1000': 137, '0110': 47, '1101': 17}","{'H_AFM': 0.816, 'H_FM': 0.816, 'H_TF': 0.816, 'H_XY': 0.816, 'H_RF': 0.816}"
9,"{'1011': 7, '1101': 31, '0000': 255, '0010': 37, '1100': 238, '1010': 70, '0100': 89, '1000': 98, '0110': 75, '1001': 19, '0101': 11, '1110': 24, '0001': 27, '1111': 5, '0011': 3, '0111': 11}","{'H_AFM': 1.3559999999999999, 'H_FM': 1.3559999999999999, 'H_TF': 1.3559999999999999, 'H_XY': 1.3559999999999999, 'H_RF': 1.3559999999999999}"
10,"{'0001': 4, '1110': 3, '0101': 1, '0110': 37, '1010': 30, '1000': 19, '1100': 40, '0100': 448, '0010': 259, '0000': 159}","{'H_AFM': 2.0900000000000003, 'H_FM': 2.0900000000000003, 'H_TF': 2.0900000000000003, 'H_XY': 2.0900000000000003, 'H_RF': 2.0900000000000003}"
11,"{'1111': 32, '1100': 15, '1011': 170, '0011': 53, '0111': 8, '0101': 34, '1001': 42, '0001': 15, '1110': 220, '1010': 41, '0010': 20, '0000': 35, '1000': 137, '0110': 62, '1101': 112, '0100': 4}","{'H_AFM': -0.656, 'H_FM': -0.656, 'H_TF': -0.656, 'H_XY': -0.656, 'H_RF': -0.656}"
12,"{'0000': 14, '0001': 3, '1010': 116, '0011': 88, '0111': 164, '1011': 146, '0101': 10, '1001': 20, '1100': 11, '1111': 67, '1000': 20, '0110': 152, '1101': 7, '1110': 71, '0010': 73, '0100': 38}","{'H_AFM': -0.7200000000000001, 'H_FM': -0.7200000000000001, 'H_TF': -0.7200000000000001, 'H_XY': -0.7200000000000001, 'H_RF': -0.7200000000000001}"
13,"{'1101': 42, '1110': 1, '0101': 101, '1011': 3, '0011': 106, '0010': 63, '0000': 86, '0001': 79, '1010': 92, '0100': 203, '1001': 89, '1100': 135}","{'H_AFM': 0.942, 'H_FM': 0.942, 'H_TF': 0.942, 'H_XY': 0.942, 'H_RF': 0.942}"
14,"{'0010': 2, '1110': 65, '0100': 95, '1111': 70, '0001': 23, '1000': 25, '0110': 113, '1101': 87, '1100': 103, '0101': 104, '1001': 43, '1010': 51, '0000': 22, '0011': 2, '0111': 140, '1011': 55}","{'H_AFM': -0.5960000000000001, 'H_FM': -0.5960000000000001, 'H_TF': -0.5960000000000001, 'H_XY': -0.5960000000000001, 'H_RF': -0.5960000000000001}"
15,"{'1101': 2, '0100': 33, '1100': 79, '1011': 39, '0111': 46, '0011': 16, '0000': 112, '0010': 84, '0001': 49, '1111': 53, '1000': 36, '0110': 130, '1110': 108, '1001': 41, '0101': 62, '1010': 110}","{'H_AFM': 0.25, 'H_FM': 0.25, 'H_TF': 0.25, 'H_XY': 0.25, 'H_RF': 0.25}"
16,"{'1101': 2, '1000': 37, '0110': 128, '1110': 52, '0001': 54, '1111': 31, '1011': 55, '0111': 64, '0011': 126, '0100': 89, '0000': 108, '0010': 151, '1100': 35, '0101': 4, '1001': 20, '1010': 44}","{'H_AFM': 0.6239999999999999, 'H_FM': 0.6239999999999999, 'H_TF': 0.6239999999999999, 'H_XY': 0.6239999999999999, 'H_RF': 0.6239999999999999}"
17,"{'1011': 1, '1100': 97, '0000': 312, '0010': 3, '0100': 103, '0001': 60, '1111': 1, '1101': 17, '1000': 314, '0110': 12, '1001': 49, '0101': 17, '1110': 11, '1010': 3}","{'H_AFM': 2.146, 'H_FM': 2.146, 'H_TF': 2.146, 'H_XY': 2.146, 'H_RF': 2.146}"
18,"{'0100': 2, '1010': 60, '0110': 2, '1000': 56, '1100': 20, '1011': 277, '0111': 9, '0011': 53, '1001': 268, '0101': 20, '1110': 13, '0001': 65, '1111': 54, '0000': 21, '0010': 9, '1101': 71}","{'H_AFM': -0.608, 'H_FM': -0.608, 'H_TF': -0.608, 'H_XY': -0.608, 'H_RF': -0.608}"
19,"{'0100': 81, '1100': 61, '1001': 72, '0111': 71, '1011': 104, '0011': 71, '1010': 77, '1101': 84, '0101': 114, '1111': 95, '0001': 113, '0010': 57}","{'H_AFM': -0.396, 'H_FM': -0.396, 'H_TF': -0.396, 'H_XY': -0.396, 'H_RF': -0.396}"
20,"{'0001': 1, '1011': 10, '0000': 3, '0011': 42, '0111': 34, '1101': 103, '1100': 113, '0110': 43, '1000': 63, '1111': 165, '1110': 179, '1001': 52, '0101': 72, '0100': 75, '0010': 32, '1010': 13}","{'H_AFM': -0.9580000000000002, 'H_FM': -0.9580000000000002, 'H_TF': -0.9580000000000002, 'H_XY': -0.9580000000000002, 'H_RF': -0.9580000000000002}"
21,"{'1101': 5, '1111': 22, '0100': 2, '0010': 166, '0000': 39, '1010': 204, '1011': 186, '0011': 176, '0111': 17, '1100': 2, '0001': 45, '1001': 47, '0101': 4, '1110': 18, '1000': 54, '0110': 13}","{'H_AFM': 0.15000000000000002, 'H_FM': 0.15000000000000002, 'H_TF': 0.15000000000000002, 'H_XY': 0.15000000000000002, 'H_RF': 0.15000000000000002}"
22,"{'0000': 333, '0010': 82, '1111': 27, '0001': 57, '1010': 316, '1000': 87, '1011': 46, '0111': 2, '0011': 10, '1101': 5, '1110': 5, '1001': 8, '0101': 19, '0100': 3}","{'H_AFM': 1.5659999999999998, 'H_FM': 1.5659999999999998, 'H_TF': 1.5659999999999998, 'H_XY': 1.5659999999999998, 'H_RF': 1.5659999999999998}"
23,"{'0100': 3, '1101': 262, '1000': 2, '0110': 76, '0001': 101, '1111': 10, '0010': 209, '0000': 13, '1110': 75, '1010': 119, '0111': 5, '0011': 22, '1011': 11, '0101': 46, '1001': 27, '1100': 19}","{'H_AFM': -0.064, 'H_FM': -0.064, 'H_TF': -0.064, 'H_XY': -0.064, 'H_RF': -0.064}"
24,"{'1011': 5, '1110': 109, '1010': 42, '1111': 18, '1101': 333, '1000': 94, '1001': 101, '1100': 298}","{'H_AFM': -0.778, 'H_FM': -0.778, 'H_TF': -0.778, 'H_XY': -0.778, 'H_RF': -0.778}"
25,"{'1101': 14, '0110': 51, '0010': 8, '0000': 218, '0001': 1, '1111': 225, '0100': 59, '1011': 71, '0111': 102, '0011': 42, '1100': 44, '1001': 60, '1000': 105}","{'H_AFM': -0.05600000000000002, 'H_FM': -0.05600000000000002, 'H_TF': -0.05600000000000002, 'H_XY': -0.05600000000000002, 'H_RF': -0.05600000000000002}"
26,"{'0001': 4, '0010': 11, '1010': 169, '1110': 47, '1111': 105, '1101': 160, '1000': 26, '0110': 23, '0000': 139, '0111': 116, '0011': 36, '1011': 10, '0101': 66, '1001': 39, '1100': 27, '0100': 22}","{'H_AFM': -0.40399999999999997, 'H_FM': -0.40399999999999997, 'H_TF': -0.40399999999999997, 'H_XY': -0.40399999999999997, 'H_RF': -0.40399999999999997}"
27,"{'1100': 41, '0000': 63, '0010': 30, '1101': 75, '1001': 38, '0101': 63, '1110': 61, '1111': 132, '0001': 99, '0110': 38, '1000': 15, '0100': 43, '1010': 78, '1011': 108, '0011': 57, '0111': 59}","{'H_AFM': -0.508, 'H_FM': -0.508, 'H_TF': -0.508, 'H_XY': -0.508, 'H_RF': -0.508}"
