phase,trial,counts,energies,success,iteration,bias_strength
baseline,0,"{'0001': 64, '1111': 62, '0010': 63, '0000': 63, '0100': 69, '1011': 60, '0111': 69, '0011': 59, '1100': 61, '0110': 66, '1000': 58, '1001': 64, '0101': 64, '1110': 70, '1010': 65, '1101': 67}","{'H_AFM': np.float64(-0.025390625), 'H_FM': np.float64(0.029296875), 'H_TF': np.float64(0.0)}",False,,
baseline,1,"{'1010': 60, '1100': 61, '0011': 74, '0111': 65, '1011': 58, '0000': 73, '0010': 69, '1110': 63, '0101': 67, '1001': 51, '0001': 63, '1111': 68, '1101': 65, '1000': 74, '0110': 58, '0100': 55}","{'H_AFM': np.float64(0.021484375), 'H_FM': np.float64(-0.134765625), 'H_TF': np.float64(0.0)}",True,,
baseline,2,"{'1101': 65, '1010': 54, '0001': 72, '1111': 71, '1100': 66, '1110': 73, '1001': 56, '0101': 64, '0100': 73, '1000': 59, '0110': 54, '0000': 61, '0010': 58, '1011': 50, '0011': 79, '0111': 69}","{'H_AFM': np.float64(0.1171875), 'H_FM': np.float64(-0.07421875), 'H_TF': np.float64(0.0)}",False,,
baseline,3,"{'0000': 59, '1110': 55, '1010': 63, '0100': 58, '1100': 57, '0101': 74, '1001': 61, '0010': 65, '1101': 85, '1000': 64, '0110': 62, '1011': 63, '0111': 62, '0011': 70, '0001': 60, '1111': 66}","{'H_AFM': np.float64(-0.06640625), 'H_FM': np.float64(-0.03515625), 'H_TF': np.float64(0.0)}",False,,
baseline,4,"{'0000': 65, '0100': 59, '0010': 69, '1100': 78, '1101': 73, '1000': 75, '0110': 59, '1111': 67, '0001': 55, '1001': 66, '0101': 53, '1110': 67, '1011': 60, '0011': 67, '0111': 53, '1010': 58}","{'H_AFM': np.float64(0.078125), 'H_FM': np.float64(-0.08203125), 'H_TF': np.float64(0.0)}",False,,
baseline,5,"{'0001': 58, '1110': 49, '1010': 51, '0100': 69, '0101': 64, '1001': 68, '1100': 65, '1000': 73, '0110': 68, '1101': 58, '0011': 54, '0111': 64, '1011': 61, '0000': 79, '0010': 71, '1111': 72}","{'H_AFM': np.float64(-0.001953125), 'H_FM': np.float64(-0.076171875), 'H_TF': np.float64(0.0)}",False,,
baseline,6,"{'0001': 51, '1101': 52, '1111': 81, '1110': 67, '0101': 62, '1001': 73, '1100': 68, '1011': 72, '0111': 70, '0011': 70, '0010': 56, '0000': 62, '0100': 49, '1010': 55, '1000': 70, '0110': 66}","{'H_AFM': np.float64(0.056640625), 'H_FM': np.float64(-0.041015625), 'H_TF': np.float64(0.0)}",False,,
baseline,7,"{'1000': 60, '0110': 67, '0001': 51, '1110': 66, '0101': 70, '1001': 62, '1100': 61, '1011': 63, '0111': 80, '0011': 68, '0100': 73, '0000': 55, '0010': 56, '1010': 68, '1101': 58, '1111': 66}","{'H_AFM': np.float64(-0.03515625), 'H_FM': np.float64(0.03125), 'H_TF': np.float64(0.0)}",False,,
baseline,8,"{'0010': 53, '1100': 58, '1101': 72, '1011': 52, '0111': 66, '0011': 72, '0100': 64, '0000': 52, '0110': 60, '1000': 60, '1111': 74, '0001': 70, '1110': 70, '1001': 67, '0101': 65, '1010': 69}","{'H_AFM': np.float64(-0.0078125), 'H_FM': np.float64(0.01171875), 'H_TF': np.float64(0.0)}",False,,
baseline,9,"{'1011': 69, '0110': 75, '1000': 62, '0101': 51, '1001': 68, '1100': 68, '0111': 67, '0011': 61, '1110': 58, '0100': 58, '1010': 72, '1101': 56, '1111': 63, '0001': 66, '0000': 65, '0010': 65}","{'H_AFM': np.float64(0.00390625), 'H_FM': np.float64(0.0390625), 'H_TF': np.float64(0.0)}",False,,
