trial,counts,energies,iteration,energies_dict,solved
0,"{'0000': 1, '0001': 4, '1011': 113, '0111': 111, '0011': 120, '1000': 5, '0110': 95, '1101': 10, '1110': 125, '1111': 157, '0010': 116, '1010': 118, '0101': 6, '1001': 6, '1100': 9, '0100': 4}","{'H_AFM': -1.0839999999999999, 'H_FM': -1.0839999999999999, 'H_TF': -1.0839999999999999, 'H_XY': -1.0839999999999999, 'H_RF': -1.0839999999999999}",9,"{'H_AFM': -1.0839999999999999, 'H_FM': -1.0839999999999999, 'H_TF': -1.0839999999999999, 'H_XY': -1.0839999999999999, 'H_RF': -1.0839999999999999}",True
1,"{'0000': 86, '0101': 143, '1000': 252, '1101': 519}","{'H_AFM': -0.19000000000000006, 'H_FM': -0.19000000000000006, 'H_TF': -0.19000000000000006, 'H_XY': -0.19000000000000006, 'H_RF': -0.19000000000000006}",9,"{'H_AFM': -0.19000000000000006, 'H_FM': -0.19000000000000006, 'H_TF': -0.19000000000000006, 'H_XY': -0.19000000000000006, 'H_RF': -0.19000000000000006}",False
2,"{'0111': 3, '0101': 7, '0110': 251, '1101': 21, '1100': 452, '0100': 266}","{'H_AFM': 0.48400000000000004, 'H_FM': 0.48400000000000004, 'H_TF': 0.48400000000000004, 'H_XY': 0.48400000000000004, 'H_RF': 0.48400000000000004}",9,"{'H_AFM': 0.48400000000000004, 'H_FM': 0.48400000000000004, 'H_TF': 0.48400000000000004, 'H_XY': 0.48400000000000004, 'H_RF': 0.48400000000000004}",False
3,"{'0100': 24, '1000': 21, '1100': 15, '1001': 260, '0001': 193, '1101': 286, '0101': 185, '0000': 16}","{'H_AFM': -0.03199999999999997, 'H_FM': -0.03199999999999997, 'H_TF': -0.03199999999999997, 'H_XY': -0.03199999999999997, 'H_RF': -0.03199999999999997}",9,"{'H_AFM': -0.03199999999999997, 'H_FM': -0.03199999999999997, 'H_TF': -0.03199999999999997, 'H_XY': -0.03199999999999997, 'H_RF': -0.03199999999999997}",False
4,"{'0010': 43, '0000': 31, '0100': 70, '0001': 141, '0110': 71, '0101': 248, '0111': 261, '0011': 135}","{'H_AFM': 0.10999999999999988, 'H_FM': 0.10999999999999988, 'H_TF': 0.10999999999999988, 'H_XY': 0.10999999999999988, 'H_RF': 0.10999999999999988}",9,"{'H_AFM': 0.10999999999999988, 'H_FM': 0.10999999999999988, 'H_TF': 0.10999999999999988, 'H_XY': 0.10999999999999988, 'H_RF': 0.10999999999999988}",False
5,"{'1100': 5, '0100': 4, '1011': 157, '0111': 43, '0011': 167, '0110': 2, '1000': 16, '0001': 204, '1111': 51, '0000': 12, '0010': 15, '1101': 59, '1010': 19, '1110': 1, '1001': 196, '0101': 49}","{'H_AFM': -0.198, 'H_FM': -0.198, 'H_TF': -0.198, 'H_XY': -0.198, 'H_RF': -0.198}",9,"{'H_AFM': -0.198, 'H_FM': -0.198, 'H_TF': -0.198, 'H_XY': -0.198, 'H_RF': -0.198}",False
6,"{'0100': 9, '0001': 22, '0101': 47, '0110': 99, '0000': 12, '0010': 116, '0011': 523, '0111': 172}","{'H_AFM': -0.0019999999999999463, 'H_FM': -0.0019999999999999463, 'H_TF': -0.0019999999999999463, 'H_XY': -0.0019999999999999463, 'H_RF': -0.0019999999999999463}",9,"{'H_AFM': -0.0019999999999999463, 'H_FM': -0.0019999999999999463, 'H_TF': -0.0019999999999999463, 'H_XY': -0.0019999999999999463, 'H_RF': -0.0019999999999999463}",False
7,"{'0001': 46, '1011': 26, '0011': 203, '0000': 62, '0010': 201, '1001': 124, '1000': 270, '1010': 68}","{'H_AFM': 1.23, 'H_FM': 1.23, 'H_TF': 1.23, 'H_XY': 1.23, 'H_RF': 1.23}",9,"{'H_AFM': 1.23, 'H_FM': 1.23, 'H_TF': 1.23, 'H_XY': 1.23, 'H_RF': 1.23}",False
8,"{'1010': 7, '1011': 11, '0011': 5, '0111': 97, '1101': 85, '1111': 202, '0001': 12, '1110': 123, '1100': 66, '0101': 203, '1001': 12, '0110': 60, '1000': 9, '0100': 100, '0010': 4, '0000': 4}","{'H_AFM': -1.174, 'H_FM': -1.174, 'H_TF': -1.174, 'H_XY': -1.174, 'H_RF': -1.174}",9,"{'H_AFM': -1.174, 'H_FM': -1.174, 'H_TF': -1.174, 'H_XY': -1.174, 'H_RF': -1.174}",True
9,"{'0000': 230, '0011': 109, '0111': 233, '0100': 428}","{'H_AFM': 1.31, 'H_FM': 1.31, 'H_TF': 1.31, 'H_XY': 1.31, 'H_RF': 1.31}",9,"{'H_AFM': 1.31, 'H_FM': 1.31, 'H_TF': 1.31, 'H_XY': 1.31, 'H_RF': 1.31}",False
10,"{'0001': 13, '1010': 318, '1011': 36, '0011': 30, '0000': 133, '0010': 335, '1001': 5, '1000': 130}","{'H_AFM': 1.4160000000000001, 'H_FM': 1.4160000000000001, 'H_TF': 1.4160000000000001, 'H_XY': 1.4160000000000001, 'H_RF': 1.4160000000000001}",9,"{'H_AFM': 1.4160000000000001, 'H_FM': 1.4160000000000001, 'H_TF': 1.4160000000000001, 'H_XY': 1.4160000000000001, 'H_RF': 1.4160000000000001}",False
11,"{'0001': 16, '0110': 57, '0101': 19, '0111': 99, '0011': 107, '0010': 51, '0000': 329, '0100': 322}","{'H_AFM': 1.896, 'H_FM': 1.896, 'H_TF': 1.896, 'H_XY': 1.896, 'H_RF': 1.896}",9,"{'H_AFM': 1.896, 'H_FM': 1.896, 'H_TF': 1.896, 'H_XY': 1.896, 'H_RF': 1.896}",False
12,"{'1100': 6, '1101': 10, '0010': 193, '0000': 12, '1011': 93, '0111': 136, '0011': 80, '1111': 124, '0001': 4, '0101': 5, '1001': 6, '1010': 193, '1000': 15, '0110': 61, '1110': 55, '0100': 7}","{'H_AFM': -0.598, 'H_FM': -0.598, 'H_TF': -0.598, 'H_XY': -0.598, 'H_RF': -0.598}",9,"{'H_AFM': -0.598, 'H_FM': -0.598, 'H_TF': -0.598, 'H_XY': -0.598, 'H_RF': -0.598}",True
13,"{'0011': 29, '0001': 760, '0010': 6, '0000': 205}","{'H_AFM': 2.352, 'H_FM': 2.352, 'H_TF': 2.352, 'H_XY': 2.352, 'H_RF': 2.352}",9,"{'H_AFM': 2.352, 'H_FM': 2.352, 'H_TF': 2.352, 'H_XY': 2.352, 'H_RF': 2.352}",False
14,"{'1000': 140, '1001': 98, '0000': 168, '0010': 156, '0001': 131, '1010': 128, '0011': 103, '1011': 76}","{'H_AFM': 1.374, 'H_FM': 1.374, 'H_TF': 1.374, 'H_XY': 1.374, 'H_RF': 1.374}",9,"{'H_AFM': 1.374, 'H_FM': 1.374, 'H_TF': 1.374, 'H_XY': 1.374, 'H_RF': 1.374}",False
15,"{'0101': 8, '0001': 129, '0110': 10, '0111': 1, '0011': 55, '0100': 29, '0000': 497, '0010': 271}","{'H_AFM': 2.8440000000000003, 'H_FM': 2.8440000000000003, 'H_TF': 2.8440000000000003, 'H_XY': 2.8440000000000003, 'H_RF': 2.8440000000000003}",9,"{'H_AFM': 2.8440000000000003, 'H_FM': 2.8440000000000003, 'H_TF': 2.8440000000000003, 'H_XY': 2.8440000000000003, 'H_RF': 2.8440000000000003}",False
16,"{'0010': 21, '0001': 21, '0100': 102, '1101': 122, '1000': 24, '0110': 83, '1110': 91, '1011': 20, '0011': 15, '0111': 83, '1100': 109, '0101': 141, '1001': 38, '1010': 21, '0000': 22, '1111': 87}","{'H_AFM': -0.556, 'H_FM': -0.556, 'H_TF': -0.556, 'H_XY': -0.556, 'H_RF': -0.556}",9,"{'H_AFM': -0.556, 'H_FM': -0.556, 'H_TF': -0.556, 'H_XY': -0.556, 'H_RF': -0.556}",True
17,"{'0110': 2, '1010': 12, '1110': 71, '0010': 383, '0000': 464, '1000': 13, '1100': 55}","{'H_AFM': 2.506, 'H_FM': 2.506, 'H_TF': 2.506, 'H_XY': 2.506, 'H_RF': 2.506}",9,"{'H_AFM': 2.506, 'H_FM': 2.506, 'H_TF': 2.506, 'H_XY': 2.506, 'H_RF': 2.506}",False
18,"{'0100': 93, '1111': 220, '1011': 126, '1101': 168, '0110': 96, '1001': 140, '0010': 60, '0000': 97}","{'H_AFM': -0.7739999999999999, 'H_FM': -0.7739999999999999, 'H_TF': -0.7739999999999999, 'H_XY': -0.7739999999999999, 'H_RF': -0.7739999999999999}",9,"{'H_AFM': -0.7739999999999999, 'H_FM': -0.7739999999999999, 'H_TF': -0.7739999999999999, 'H_XY': -0.7739999999999999, 'H_RF': -0.7739999999999999}",True
19,"{'0001': 47, '1001': 56, '1000': 253, '1010': 143, '0011': 39, '1011': 24, '0010': 146, '0000': 292}","{'H_AFM': 2.0119999999999996, 'H_FM': 2.0119999999999996, 'H_TF': 2.0119999999999996, 'H_XY': 2.0119999999999996, 'H_RF': 2.0119999999999996}",9,"{'H_AFM': 2.0119999999999996, 'H_FM': 2.0119999999999996, 'H_TF': 2.0119999999999996, 'H_XY': 2.0119999999999996, 'H_RF': 2.0119999999999996}",False
20,"{'0110': 16, '0100': 38, '0010': 683, '0000': 263}","{'H_AFM': 2.494, 'H_FM': 2.494, 'H_TF': 2.494, 'H_XY': 2.494, 'H_RF': 2.494}",9,"{'H_AFM': 2.494, 'H_FM': 2.494, 'H_TF': 2.494, 'H_XY': 2.494, 'H_RF': 2.494}",False
21,"{'0111': 57, '0011': 60, '0100': 54, '0110': 208, '0010': 180, '0000': 59, '0001': 204, '0101': 178}","{'H_AFM': 0.998, 'H_FM': 0.998, 'H_TF': 0.998, 'H_XY': 0.998, 'H_RF': 0.998}",9,"{'H_AFM': 0.998, 'H_FM': 0.998, 'H_TF': 0.998, 'H_XY': 0.998, 'H_RF': 0.998}",False
22,"{'1110': 20, '1100': 146, '0011': 36, '0010': 45, '0000': 283, '1111': 14, '0001': 317, '1101': 139}","{'H_AFM': 1.4819999999999998, 'H_FM': 1.4819999999999998, 'H_TF': 1.4819999999999998, 'H_XY': 1.4819999999999998, 'H_RF': 1.4819999999999998}",9,"{'H_AFM': 1.4819999999999998, 'H_FM': 1.4819999999999998, 'H_TF': 1.4819999999999998, 'H_XY': 1.4819999999999998, 'H_RF': 1.4819999999999998}",False
23,"{'0001': 1, '1001': 11, '1000': 42, '1010': 233, '0000': 8, '0010': 32, '0011': 112, '1011': 561}","{'H_AFM': -0.9400000000000002, 'H_FM': -0.9400000000000002, 'H_TF': -0.9400000000000002, 'H_XY': -0.9400000000000002, 'H_RF': -0.9400000000000002}",9,"{'H_AFM': -0.9400000000000002, 'H_FM': -0.9400000000000002, 'H_TF': -0.9400000000000002, 'H_XY': -0.9400000000000002, 'H_RF': -0.9400000000000002}",True
24,"{'1101': 1, '1100': 6, '0001': 273, '1111': 14, '1011': 2, '0111': 126, '0011': 13, '0000': 316, '0010': 15, '0100': 40, '1110': 7, '0110': 126, '1000': 19, '0101': 22, '1001': 20}","{'H_AFM': 1.6300000000000001, 'H_FM': 1.6300000000000001, 'H_TF': 1.6300000000000001, 'H_XY': 1.6300000000000001, 'H_RF': 1.6300000000000001}",9,"{'H_AFM': 1.6300000000000001, 'H_FM': 1.6300000000000001, 'H_TF': 1.6300000000000001, 'H_XY': 1.6300000000000001, 'H_RF': 1.6300000000000001}",False
25,"{'0001': 153, '1010': 42, '0010': 82, '0000': 60, '1000': 18, '1001': 169, '1011': 295, '0011': 181}","{'H_AFM': 0.15600000000000003, 'H_FM': 0.15600000000000003, 'H_TF': 0.15600000000000003, 'H_XY': 0.15600000000000003, 'H_RF': 0.15600000000000003}",9,"{'H_AFM': 0.15600000000000003, 'H_FM': 0.15600000000000003, 'H_TF': 0.15600000000000003, 'H_XY': 0.15600000000000003, 'H_RF': 0.15600000000000003}",False
26,"{'1110': 7, '0000': 19, '0001': 152, '1111': 61, '1011': 64, '0011': 64, '0111': 48, '0110': 3, '1000': 17, '1100': 12, '1101': 186, '1010': 13, '1001': 187, '0101': 147, '0100': 15, '0010': 5}","{'H_AFM': -0.4, 'H_FM': -0.4, 'H_TF': -0.4, 'H_XY': -0.4, 'H_RF': -0.4}",9,"{'H_AFM': -0.4, 'H_FM': -0.4, 'H_TF': -0.4, 'H_XY': -0.4, 'H_RF': -0.4}",False
